,date,c13,o18
653,1812.3,-24.95,24.23
654,1812.5,-24.66,24.79
655,1812.7,-24.9,25.22
656,1812.9,-25.58,23.56
657,1813.1,-25.28,25.43
658,1813.3,-25.33,25.76
659,1813.5,-25.48,24.44
660,1813.7,-25.11,25.49
661,1813.9,-25.21,26.69
662,1814.1,-25.57,26.02
663,1814.3,-25.43,25.5
664,1814.5,-25.05,25.81
665,1814.7,-25.01,25.67
666,1814.9,-25.5,25.14
667,1815.1,-25.64,24.82
668,1815.3,-25.47,24.75
669,1815.5,-24.96,26.01
670,1815.7,-24.95,25.37
671,1815.9,-25.19,24.91
672,1816.08,-25.3,24.42
673,1816.25,-24.77,25.36
674,1816.42,-24.5,26.47
675,1816.58,-24.85,25.0
676,1816.75,-24.59,25.18
677,1816.92,-24.72,25.96
678,1817.1,-25.1,25.67
679,1817.3,-24.7,25.26
680,1817.5,-24.4,25.56
681,1817.7,-24.6,24.94
682,1817.9,-24.49,25.61
683,1818.17,-24.87,25.46
684,1818.5,-24.96,25.48
685,1818.83,-25.05,24.74
686,1819.13,-24.84,25.26
687,1819.38,-24.78,25.32
688,1819.63,-24.65,24.83
689,1819.88,-24.57,24.6
690,1820.13,-24.78,24.78
691,1820.38,-24.86,24.73
692,1820.63,-24.53,24.84
693,1820.88,-24.56,25.0
694,1821.38,-24.6,26.21
695,1821.88,-24.6,24.52
696,1822.13,-24.42,25.01
697,1822.38,-24.8,24.14
698,1822.63,-24.73,23.88
699,1822.88,-24.64,24.49
700,1823.17,-24.91,24.98
701,1823.5,-25.01,23.99
702,1823.83,-24.55,25.43
703,1824.13,-24.45,25.67
704,1824.38,-24.58,25.76
705,1824.63,-24.46,25.2
706,1824.88,-25.27,25.23
707,1825.1,-25.43,24.78
708,1825.3,-25.66,24.66
709,1825.5,-25.43,23.75
710,1825.7,-24.98,24.63
711,1825.9,-24.47,24.99
712,1826.17,-24.7,25.02
713,1826.17,-25.02,24.99
714,1826.5,-24.95,24.83
715,1826.83,-24.97,25.11
716,1827.25,-25.4,24.45
717,1827.75,-25.56,24.72
718,1828.08,-25.7,24.19
719,1828.25,-25.55,23.98
720,1828.58,-24.79,23.29
721,1828.75,-24.99,23.19
722,1828.92,-24.99,23.46
723,1829.25,-25.07,25.07
724,1829.42,-25.43,24.3
725,1829.58,-25.03,25.34
726,1829.75,-25.17,25.57
727,1829.92,-25.16,25.88
